appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,release_year,total_ratings,rating_ratio,owners_mean,genres_text,categories_text,platforms_text,tags_text_clean,developer_encoded
240,Counter-Strike: Source,2004-11-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,Action;FPS;Multiplayer,147,76640,3497,6842,400,10000000-20000000,7.19,2004,80137,0.9563502957398488,15000000.0,action,multi-player cross-platform multiplayer steam achievements steam cloud valve anti-cheat enabled stats includes source sdk,windows mac linux,fps multiplayer,15118
280,Half-Life: Source,2004-06-01,1,Valve,Valve,windows;mac;linux,0,Single-player,Action,FPS;Action;Sci-fi,0,3767,1053,190,214,2000000-5000000,0.0,2004,4820,0.7813731590956233,3500000.0,action,single-player,windows mac linux,fps sci-fi,15118
300,Day of Defeat: Source,2010-07-12,1,Valve,Valve,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,FPS;World War II;Multiplayer,54,10489,1210,1356,134,5000000-10000000,7.19,2010,11699,0.8964957264957265,7500000.0,action,multi-player cross-platform multiplayer steam achievements steam trading cards valve anti-cheat enabled stats includes source sdk,windows mac linux,fps world war ii multiplayer,15118
320,Half-Life 2: Deathmatch,2004-11-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK,Action,Action;FPS;Multiplayer,0,6020,787,311,32,10000000-20000000,3.99,2004,6807,0.8842538190364277,15000000.0,action,multi-player valve anti-cheat enabled includes source sdk,windows mac linux,fps multiplayer,15118
340,Half-Life 2: Lost Coast,2005-10-27,1,Valve,Valve,windows;mac;linux,0,Single-player;Commentary available,Action,FPS;Action;Singleplayer,0,5783,1020,46,29,10000000-20000000,0.0,2005,6803,0.8499412110523221,15000000.0,action,single-player commentary available,windows mac linux,fps singleplayer,15118
360,Half-Life Deathmatch: Source,2006-05-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,0,1362,473,102,81,5000000-10000000,0.0,2006,1835,0.7418300653594772,7500000.0,action,multi-player valve anti-cheat enabled,windows mac linux,fps multiplayer,15118
380,Half-Life 2: Episode One,2006-06-01,1,Valve,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,13,7908,517,281,184,5000000-10000000,5.79,2006,8425,0.9385236173747923,7500000.0,action,single-player steam achievements captions available partial controller support steam cloud stats includes source sdk commentary available,windows mac linux,fps sci-fi,15118
400,Portal,2007-10-10,1,Valve,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Action,Puzzle;First-Person;Singleplayer,15,51801,1080,288,137,10000000-20000000,7.19,2007,52881,0.9795582617904013,15000000.0,action,single-player steam achievements captions available partial controller support includes level editor includes source sdk commentary available,windows mac linux,puzzle first-person singleplayer,15118
420,Half-Life 2: Episode Two,2007-10-10,1,Valve,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,22,13902,696,354,301,5000000-10000000,5.79,2007,14598,0.9522570039043771,7500000.0,action,single-player steam achievements captions available partial controller support steam cloud stats includes source sdk commentary available,windows mac linux,fps sci-fi,15118
440,Team Fortress 2,2007-10-10,1,Valve,Valve,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Action;Free to Play,Free to Play;Multiplayer;FPS,520,515879,34036,8495,623,20000000-50000000,0.0,2007,549915,0.9381050924141141,35000000.0,action free to play,multi-player cross-platform multiplayer steam achievements steam trading cards captions available steam workshop in-app purchases partial controller support valve anti-cheat enabled stats includes level editor commentary available,windows mac linux,multiplayer fps,15118
500,Left 4 Dead,2008-11-17,1,Valve,Valve,windows;mac,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,73,17951,948,897,278,5000000-10000000,7.19,2008,18899,0.9497883597883597,7500000.0,action,single-player multi-player co-op steam achievements full controller support captions available steam cloud valve anti-cheat enabled stats steam leaderboards includes source sdk commentary available,windows mac,zombies fps,15118
550,Left 4 Dead 2,2009-11-19,1,Valve,Valve,windows;mac;linux,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS,70,251789,8418,1615,566,10000000-20000000,7.19,2009,260207,0.9676451146774888,15000000.0,action,single-player multi-player co-op steam achievements full controller support steam trading cards captions available steam workshop steam cloud valve anti-cheat enabled stats includes source sdk commentary available,windows mac linux,zombies fps,15118
570,Dota 2,2013-07-09,1,Valve,Valve,windows;mac;linux,0,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy,0,863507,142079,23944,801,100000000-200000000,0.0,2013,1005586,0.8587093906345249,150000000.0,action free to play strategy,multi-player co-op steam trading cards steam workshop steamvr collectibles in-app purchases valve anti-cheat enabled,windows mac linux,moba,15118
620,Portal 2,2011-04-18,1,Valve,Valve,windows;mac;linux,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,Action;Adventure,Puzzle;Co-op;First-Person,51,138220,1891,1102,520,10000000-20000000,7.19,2011,140111,0.9864965170720567,15000000.0,action adventure,single-player co-op steam achievements full controller support steam trading cards captions available steam workshop steam cloud stats includes level editor commentary available,windows mac linux,puzzle first-person,15118
630,Alien Swarm,2010-07-19,1,Valve,Valve,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor,Action,Free to Play;Co-op;Action,66,17435,941,371,83,2000000-5000000,0.0,2010,18376,0.9487402731675464,3500000.0,action,single-player multi-player co-op steam achievements captions available steam cloud stats includes level editor,windows,,15118
730,Counter-Strike: Global Offensive,2012-08-21,1,Valve;Hidden Path Entertainment,Valve,windows;mac;linux,0,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Action;Free to Play,FPS;Multiplayer;Shooter,167,2644404,402313,22494,6502,50000000-100000000,0.0,2012,3046717,0.8679516778382509,75000000.0,action free to play,multi-player steam achievements full controller support steam trading cards steam workshop in-app purchases valve anti-cheat enabled stats,windows mac linux,fps multiplayer shooter,15120
1002,Rag Doll Kung Fu,2005-10-12,1,Mark Healey,Mark Healey,windows,0,Single-player;Multi-player,Indie,Indie;Fighting;Multiplayer,0,40,17,0,0,20000-50000,5.99,2005,57,0.6896551724137931,35000.0,indie,single-player multi-player,windows,fighting multiplayer,8760
1200,Red Orchestra: Ostfront 41-45,2006-03-14,1,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,0,Multi-player;Steam Achievements;Valve Anti-Cheat enabled,Action,World War II;Action;FPS,44,1562,223,232,258,500000-1000000,3.99,2006,1785,0.8745800671892497,750000.0,action,multi-player steam achievements valve anti-cheat enabled,windows mac linux,world war ii fps,14722
1250,Killing Floor,2009-05-14,1,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor,Action,FPS;Zombies;Co-op,285,53710,2649,1328,306,2000000-5000000,14.99,2009,56359,0.9529808374733854,3500000.0,action,single-player multi-player co-op cross-platform multiplayer steam achievements steam trading cards steam workshop valve anti-cheat enabled stats includes level editor,windows mac linux,fps zombies,14722
1300,SiN Episodes: Emergence,2006-05-10,1,Ritual Entertainment,Ritual Entertainment,windows,0,Single-player;Stats,Action,Action;FPS;Cyberpunk,0,468,61,0,0,100000-200000,7.19,2006,529,0.8830188679245283,150000.0,action,single-player stats,windows,fps cyberpunk,11866
1500,Darwinia,2005-07-14,1,Introversion Software,Introversion Software,windows;mac;linux,0,Single-player,Indie;Strategy,Strategy;Indie;RTS,0,472,158,182,273,500000-1000000,7.19,2005,630,0.7480190174326465,750000.0,indie strategy,single-player,windows mac linux,rts,6934
1510,Uplink,2006-08-23,1,Introversion Software,Introversion Software,windows;mac;linux,0,Single-player,Indie;Strategy,Hacking;Indie;Strategy,0,1602,152,65,77,500000-1000000,6.99,2006,1754,0.9128205128205128,750000.0,indie strategy,single-player,windows mac linux,hacking,6934
1520,DEFCON,2006-09-29,1,Introversion Software,Introversion Software,windows;mac;linux,0,Single-player;Multi-player,Indie;Strategy,Strategy;Indie;Multiplayer,22,2057,344,80,119,500000-1000000,7.19,2006,2401,0.8563696919233972,750000.0,indie strategy,single-player multi-player,windows mac linux,multiplayer,6934
1530,Multiwinia,2008-09-19,1,Introversion Software,Introversion Software,windows;mac,0,Single-player;Multi-player;Steam Achievements,Indie,Indie;RTS;Strategy,12,368,75,121,224,500000-1000000,7.19,2008,443,0.8288288288288288,750000.0,indie,single-player multi-player steam achievements,windows mac,rts,6934
1600,Dangerous Waters,2006-02-07,1,Sonalysts,Strategy First,windows,0,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval,0,140,44,0,0,50000-100000,22.99,2006,184,0.7567567567567568,75000.0,strategy,single-player multi-player,windows,naval,13029
1610,Space Empires IV Deluxe,2006-02-07,1,Malfador Machinations,Strategy First,windows,0,Single-player;Multi-player,Strategy,Strategy;4X;Sci-fi,0,112,26,0,0,50000-100000,6.99,2006,138,0.8057553956834532,75000.0,strategy,single-player multi-player,windows,4x sci-fi,8673
1630,Disciples II: Rise of the Elves ,2006-07-06,1,Strategy First,Strategy First,windows,0,Single-player;Multi-player;Co-op,Strategy,Strategy;Turn-Based Strategy;Fantasy,0,451,108,0,0,100000-200000,4.99,2006,559,0.8053571428571429,150000.0,strategy,single-player multi-player co-op,windows,turn-based strategy fantasy,13442
1640,Disciples II: Gallean's Return,2006-07-06,1,Strategy First,Strategy First,windows,0,Single-player;Multi-player;Co-op,Strategy,Turn-Based Strategy;Strategy;Classic,0,490,152,9,12,100000-200000,4.99,2006,642,0.7620528771384136,150000.0,strategy,single-player multi-player co-op,windows,turn-based strategy classic,13442
1670,Iron Warriors: T - 72 Tank Command ,2006-07-26,1,Strategy First,Strategy First,windows,0,Single-player;Multi-player,Strategy,Simulation;Strategy;Tanks,0,137,102,0,0,20000-50000,3.99,2006,239,0.5708333333333333,35000.0,strategy,single-player multi-player,windows,tanks,13442
1690,Space Empires V,2006-10-16,1,Malfador Machinations,Strategy First,windows,0,Single-player;Multi-player,Strategy,Strategy;4X;Space,0,191,85,35,35,50000-100000,10.99,2006,276,0.6895306859205776,75000.0,strategy,single-player multi-player,windows,4x space,8673
1700,Arx Fatalis,2007-04-03,1,Arkane Studios,Arkane Studios,windows,0,Single-player,RPG,RPG;First-Person;Classic,0,671,106,11,21,100000-200000,2.99,2007,777,0.8624678663239075,150000.0,rpg,single-player,windows,first-person classic,1062
1840,Source Filmmaker,2012-07-10,1,Valve,Valve,windows,0,Steam Workshop,Animation & Modeling;Video Production,Animation & Modeling;Video Production;Free to Play,0,15083,1111,239,77,1000000-2000000,0.0,2012,16194,0.9313368323556653,1500000.0,animation & modeling video production,steam workshop,windows,,15118
1900,Earth 2160,2006-04-01,1,Reality Pump Studios,Topware Interactive;ACE,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Strategy,Strategy;RTS;Sci-fi,0,498,238,405,414,1000000-2000000,3.99,2006,736,0.6757123473541384,1500000.0,strategy,single-player multi-player co-op cross-platform multiplayer steam trading cards,windows mac linux,rts sci-fi,11570
1930,Two Worlds Epic Edition,2009-04-30,1,Reality Pump Studios,Topware Interactive,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,RPG,RPG;Open World;Fantasy,0,2656,1055,484,422,1000000-2000000,6.99,2009,3711,0.7155172413793104,1500000.0,rpg,single-player multi-player online multi-player online co-op cross-platform multiplayer steam trading cards partial controller support,windows mac linux,open world fantasy,11570
2100,Dark Messiah of Might & Magic,2006-10-25,1,Arkane Studios,Ubisoft,windows,0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action;RPG,RPG;Action;First-Person,0,4386,316,634,700,1000000-2000000,4.29,2006,4702,0.9325962151817988,1500000.0,action rpg,single-player multi-player valve anti-cheat enabled,windows,first-person,1062
2200,Quake III Arena,2007-08-03,1,id Software,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Classic,0,1362,66,123,103,200000-500000,12.99,2007,1428,0.9531140657802659,350000.0,action,single-player multi-player steam cloud,windows,fps classic,16470
2210,Quake IV,2011-08-04,1,RavenSoft / id Software,Bethesda Softworks,windows,18,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Shooter,0,891,171,36,32,200000-500000,12.99,2011,1062,0.8381937911571026,350000.0,action,single-player multi-player steam cloud,windows,fps shooter,11532
2270,Wolfenstein 3D,2007-08-03,1,id Software,Bethesda-Softworks,windows,0,Single-player;Steam Cloud,Action,FPS;Classic;Action,0,1773,87,69,110,200000-500000,2.99,2007,1860,0.9527135948414831,350000.0,action,single-player steam cloud,windows,fps classic,16470
2280,Ultimate Doom,2007-08-03,1,id Software,id Software,windows,0,Single-player;Steam Cloud,Action,Classic;FPS;Action,0,3705,257,125,179,500000-1000000,3.99,2007,3962,0.9348978046934141,750000.0,action,single-player steam cloud,windows,classic fps,16470
2290,Final DOOM,2007-08-03,1,id Software,id Software,windows,0,Single-player;Steam Cloud,Action,FPS;Action;Classic,0,573,82,120,114,200000-500000,3.99,2007,655,0.8734756097560976,350000.0,action,single-player steam cloud,windows,fps classic,16470
2300,DOOM II,2007-08-03,1,id Software,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action,Classic;FPS;Action,0,2517,182,90,78,500000-1000000,3.99,2007,2699,0.9322222222222222,750000.0,action,single-player multi-player steam cloud,windows,classic fps,16470
2310,QUAKE,2007-08-03,1,id Software,id Software,windows,0,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Classic;Action,0,2618,136,167,189,200000-500000,3.99,2007,2754,0.9502722323049002,350000.0,action,single-player multi-player co-op steam cloud,windows,fps classic,16470
2320,QUAKE II,2007-08-03,1,id Software,id Software,windows,0,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Action;Classic,0,1369,107,291,349,200000-500000,3.99,2007,1476,0.926878808395396,350000.0,action,single-player multi-player co-op steam cloud,windows,fps classic,16470
2330,QUAKE II Mission Pack: The Reckoning,2007-08-03,1,Xatrix Entertainment,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Classic,0,65,12,32,32,200000-500000,2.49,2007,77,0.8333333333333334,350000.0,action,single-player multi-player steam cloud,windows,fps classic,15853
2340,QUAKE II Mission Pack: Ground Zero,2007-08-03,1,Rogue Entertainment,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Shooter,0,54,33,1,1,200000-500000,2.49,2007,87,0.6136363636363636,350000.0,action,single-player multi-player steam cloud,windows,fps shooter,11979
2350,QUAKE III: Team Arena,2007-08-03,1,id Software,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Competitive,0,108,31,0,0,200000-500000,12.99,2007,139,0.7714285714285715,350000.0,action,single-player multi-player steam cloud,windows,fps competitive,16470
2360,HeXen: Beyond Heretic,2007-08-03,1,Raven Software,id Software,windows,0,Single-player;Steam Cloud,Action,Action;FPS;Classic,0,249,26,50,50,200000-500000,2.99,2007,275,0.9021739130434783,350000.0,action,single-player steam cloud,windows,fps classic,11528
2370,HeXen: Deathkings of the Dark Citadel,2007-08-03,1,Raven Software,id Software,windows,0,Single-player;Steam Cloud,Action,Action;FPS;Classic,0,57,20,0,0,100000-200000,2.99,2007,77,0.7307692307692307,150000.0,action,single-player steam cloud,windows,fps classic,11528
2390,Heretic: Shadow of the Serpent Riders,2007-08-03,1,Raven Software,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action,Classic;Action;FPS,0,417,29,0,0,200000-500000,2.99,2007,446,0.9328859060402684,350000.0,action,single-player multi-player steam cloud,windows,classic fps,11528
2400,The Ship: Murder Party,2006-07-11,1,Outerlight Ltd.,Blazing Griffin Ltd.,windows,0,Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled,Action;Indie;RPG,Multiplayer;Indie;Action,0,4819,792,233,239,1000000-2000000,0.0,2006,5611,0.8586956521739131,1500000.0,action indie rpg,single-player multi-player steam trading cards valve anti-cheat enabled,windows,multiplayer,10355
2450,Bloody Good Time,2010-10-29,1,Outerlight Ltd.,Ubisoft,windows,0,Single-player;Multi-player;Steam Achievements,Action,Action;Multiplayer;FPS,12,662,204,193,193,100000-200000,4.29,2010,866,0.7635524798154556,150000.0,action,single-player multi-player steam achievements,windows,multiplayer fps,10355
2500,Shadowgrounds,2006-05-08,1,Frozenbyte,Frozenbyte,windows;mac,0,Single-player;Shared/Split Screen;Steam Trading Cards,Action,Action;Sci-fi;Top-Down Shooter,0,973,248,186,258,500000-1000000,3.99,2006,1221,0.7962356792144026,750000.0,action,single-player shared/split screen steam trading cards,windows mac,sci-fi top-down shooter,5284
2520,Gumboy - Crazy Adventures™,2006-12-19,1,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",windows,0,Single-player,Casual;Indie,Casual;Indie;Singleplayer,0,52,46,0,0,50000-100000,0.0,2006,98,0.5252525252525253,75000.0,casual indie,single-player,windows,singleplayer,2301
2590,Alpha Prime,2007-11-07,1,Black Element,Bohemia Interactive,windows,0,Single-player,Action,Action;FPS;Sci-fi,0,610,523,0,0,200000-500000,2.99,2007,1133,0.5379188712522046,350000.0,action,single-player,windows,fps sci-fi,1773
2600,Vampire: The Masquerade - Bloodlines,2007-03-22,1,Troika Games,Activision,windows,0,Single-player,Action,RPG;Vampire;Cult Classic,0,6161,362,350,202,500000-1000000,14.99,2007,6523,0.9443592887798896,750000.0,action,single-player,windows,vampire cult classic,14737
2610,GUN™,2006-10-13,1,Neversoft,Activision,windows,0,Single-player,Action,Western;Action;Open World,0,740,87,462,889,50000-100000,9.99,2006,827,0.893719806763285,75000.0,action,single-player,windows,western open world,9712
2620,Call of Duty®,2006-10-13,1,Infinity Ward,Activision,windows,0,Single-player;Multi-player,Action,FPS;World War II;Action,0,1555,117,545,849,200000-500000,14.99,2006,1672,0.9294680215182307,350000.0,action,single-player multi-player,windows,fps world war ii,6857
2630,Call of Duty® 2,2006-10-13,1,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,0,Single-player;Multi-player,Action,Action;World War II;FPS,0,2434,236,750,1041,200000-500000,14.99,2006,2670,0.9112691875701985,350000.0,action,single-player multi-player,windows mac,world war ii fps,6858
2640,Call of Duty: United Offensive,2006-10-13,1,Gray Matter Studios,Activision,windows,0,Single-player;Multi-player,Action,Action;World War II;FPS,0,490,97,0,0,200000-500000,14.99,2006,587,0.8333333333333334,350000.0,action,single-player multi-player,windows,world war ii fps,5914
2710,Act of War: Direct Action,2008-03-12,1,Eugen Systems,THQ Nordic,windows,0,Single-player;Multi-player,Action,Action;Strategy;RTS,0,180,33,0,0,20000-50000,1.99,2008,213,0.8411214953271028,35000.0,action,single-player multi-player,windows,rts,4587
2720,ThreadSpace: Hyperbol,2007-07-12,1,Iocaine Studios,Atari,windows,0,Single-player;Multi-player;Includes level editor,Action;Indie;Strategy,Strategy;Action;Indie,0,31,9,0,0,20000-50000,3.99,2007,40,0.7560975609756098,35000.0,action indie strategy,single-player multi-player includes level editor,windows,,6958
2780,ARMA: Combat Operations,2008-03-12,1,Bohemia Interactive,Bohemia Interactive,windows,0,Single-player;Multi-player;Includes level editor,Action,Action;Simulation;Shooter,0,145,77,0,0,20000-50000,5.99,2008,222,0.6502242152466368,35000.0,action,single-player multi-player includes level editor,windows,shooter,1969
2800,X2: The Threat,2006-07-21,1,Egosoft,Egosoft,windows,0,Single-player;Captions available;Steam Cloud,Strategy,Space;Strategy;Simulation,0,212,50,732,732,200000-500000,4.99,2006,262,0.8060836501901141,350000.0,strategy,single-player captions available steam cloud,windows,space,4337
2810,X3: Reunion,2006-07-21,1,Egosoft,Egosoft,windows;mac;linux,0,Single-player;Captions available;Steam Cloud,Strategy,Space;Simulation;Strategy,0,282,113,831,1232,200000-500000,9.99,2006,395,0.7121212121212122,350000.0,strategy,single-player captions available steam cloud,windows mac linux,space,4337
2820,X3: Terran Conflict,2008-10-16,1,Egosoft,Egosoft,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Simulation;Strategy,Space;Simulation;Sci-fi,33,1633,272,972,1273,500000-1000000,15.99,2008,1905,0.8567681007345226,750000.0,action simulation strategy,single-player steam achievements full controller support captions available steam cloud,windows mac linux,space sci-fi,4337
2840,X: Beyond the Frontier,2010-10-08,1,Egosoft,Egosoft,windows,0,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Space;Strategy,0,142,48,648,648,200000-500000,3.49,2010,190,0.743455497382199,350000.0,simulation strategy,single-player steam cloud,windows,space,4337
2850,X: Tension,2010-10-08,1,Egosoft,Egosoft,windows,0,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Strategy;Space,0,57,18,13,13,20000-50000,3.49,2010,75,0.75,35000.0,simulation strategy,single-player steam cloud,windows,space,4337
2870,X Rebirth,2013-11-15,1,Egosoft,Egosoft,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud,Action;Simulation,Space;Simulation;Sci-fi,69,2832,4032,1744,3386,200000-500000,24.99,2013,6864,0.41252731245447927,350000.0,action simulation,single-player steam achievements full controller support steam trading cards captions available steam workshop steam cloud,windows mac linux,space sci-fi,4337
2900,688(I) Hunter/Killer,2006-10-26,1,Sonalysts,Strategy First,windows,0,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval,0,52,17,0,0,20000-50000,22.99,2006,69,0.7428571428571429,35000.0,strategy,single-player multi-player,windows,naval,13029
2910,Fleet Command,2006-10-26,1,Sonalysts,Strategy First,windows,0,Single-player,Strategy,Strategy;Simulation;Naval,0,127,31,0,0,50000-100000,22.99,2006,158,0.7987421383647799,75000.0,strategy,single-player,windows,naval,13029
2920,Sub Command,2006-10-26,1,Sonalysts,Strategy First,windows,0,Single-player;Multi-player;Co-op;Includes level editor,Strategy,Strategy;Simulation;Naval,0,33,14,0,0,20000-50000,22.99,2006,47,0.6875,35000.0,strategy,single-player multi-player co-op includes level editor,windows,naval,13029
2990,FlatOut 2™,2006-12-21,1,Bugbear Entertainment,Strategy First,windows,0,Single-player,Racing,Racing;Destruction;Multiplayer,0,5438,343,293,351,500000-1000000,5.99,2006,5781,0.9405050155655482,750000.0,racing,single-player,windows,destruction multiplayer,2186
3010,Xpand Rally,2006-08-24,1,Techland,Techland,windows,0,Single-player;Multi-player,Racing,Racing;Multiplayer,0,139,39,939,939,20000-50000,3.99,2006,178,0.776536312849162,35000.0,racing,single-player multi-player,windows,multiplayer,14047
